genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
bactris,,,,,,,18.333333333333332,,10.035464062666668,3.622450553666667,0.0,93.91545956333333,1,0.0,1,0
baikiaea,,,,,,,,,,,,,1,12.0,0,0
baileya,,,,7.2,,,,,,,,,1,2.0,0,0
balanites,,,,,,,,,,,,,1,5.0,0,0
ballota,,,,,,,12.333333333333334,490.3333333333333,51.883880713333326,0.0,0.070358141,99.92964185666666,1,0.0,1,1
balsamorhiza,,,,,,,,,,,,,2,9.0,0,0
bambusa,,,,,,50.66,,,,,,,1,1.0,0,0
banara,0.2964,10.15211897,0.614950858,34.18558677,,,,,,,,,1,2.0,0,0
banksia,,,,,,,,,,,,,6,12.0,0,0
baphia,,,,,,,,,,,,,1,7.0,0,0
baptisia,0.32543,154.33333333333334,0.22803675,32.75,,,,,,,,,3,7.0,0,0
barbarea,1.39414585,419.5615385,0.023933638,,,,,,,,,,1,6.0,0,0
barleria,,,,,,48.050000000000004,,,,,,,3,3.0,0,0
barringtonia,0.7692997977777778,8.858009069083334,0.36448835275,11.413541666666667,0.76375,83.0,,,,,,,3,20.0,0,0
bartsia,0.54,,,,,,,,,,,,1,8.0,0,0
bassia,0.18500000000000003,24.4025,,11.325,,0.0,5.5,,20.833333335,0.0,0.0,100.0,4,34.0,1,0
bathysa,0.3286,15.248854015800001,0.8934235406,15.732358,,,,,,,,,1,5.0,0,0
batocarpus,,,,,,,,,,,,,1,30.0,0,0
bauhinia,,7.83,,14.0,3.03,41.91,,,,,,,5,9.0,0,0
beckmannia,,,,,,,,,,,,,1,1.0,0,0
begonia,,,,,,,20.4,12.0,10.8315401433,5.8924349539,1.9469329016999999,89.76225810999999,1,0.0,1,1
beilschmiedia,1.0720107070707072,5.065886896770707,0.2761835258843434,12.276904761904762,0.7423333333333333,,,,,,,,7,37.0,0,0
bellis,1.113799205,707.1769231,0.078266496,,,,,,,,,,1,5.0,0,0
